Date,Time,Close
2020/01/22,09:00:00,25600
2020/01/21,09:00:00,25300
2020/01/20,09:00:00,25100
2020/01/17,09:00:00,24950
2020/01/16,09:00:00,24900
2020/01/15,09:00:00,23600
2020/01/14,09:00:00,23500
2020/01/13,09:00:00,23200
2020/01/10,09:00:00,23550
2020/01/09,09:00:00,22450
2020/01/08,09:00:00,21650
2020/01/07,09:00:00,21700
2020/01/06,09:00:00,21350
2020/01/03,09:00:00,21300
2020/01/02,09:00:00,21500
2019/12/31,09:00:00,20900
2019/12/30,09:00:00,21050
2019/12/27,09:00:00,20650
2019/12/26,09:00:00,20600
2019/12/25,09:00:00,20600
2019/12/24,09:00:00,20600
2019/12/23,09:00:00,20550
2019/12/20,09:00:00,20350
2019/12/19,09:00:00,20150
2019/12/18,09:00:00,20150
2019/12/17,09:00:00,20250
2019/12/16,09:00:00,20300
2019/12/13,09:00:00,20600
2019/12/12,09:00:00,20150
2019/12/11,09:00:00,19850
2019/12/10,09:00:00,20050
2019/12/09,09:00:00,20150
2019/12/06,09:00:00,20300
2019/12/05,09:00:00,20100
2019/12/04,09:00:00,20450
2019/12/03,09:00:00,19600
2019/12/02,09:00:00,19800
2019/11/29,09:00:00,20450
2019/11/28,09:00:00,20450
2019/11/27,09:00:00,21050
2019/11/26,09:00:00,21200
2019/11/25,09:00:00,21150
2019/11/22,09:00:00,21100
2019/11/21,09:00:00,21300
2019/11/20,09:00:00,21300
2019/11/19,09:00:00,21500
2019/11/18,09:00:00,21400
2019/11/15,09:00:00,21700
2019/11/14,09:00:00,21600
2019/11/13,09:00:00,21850
2019/11/12,09:00:00,22000
2019/11/11,09:00:00,21950
2019/11/08,09:00:00,22300
2019/11/07,09:00:00,22250
2019/11/06,09:00:00,22300
2019/11/05,09:00:00,22400
2019/11/04,09:00:00,22450
2019/11/01,09:00:00,22300
2019/10/31,09:00:00,22000
2019/10/30,09:00:00,22150
2019/10/29,09:00:00,22050
2019/10/28,09:00:00,22000
2019/10/25,09:00:00,22000
2019/10/24,09:00:00,21500
2019/10/23,09:00:00,21450
2019/10/22,09:00:00,21600
2019/10/21,09:00:00,21250
2019/10/18,09:00:00,21600
2019/10/17,09:00:00,21900
2019/10/16,09:00:00,21900
2019/10/15,09:00:00,21700
2019/10/14,09:00:00,21700
2019/10/11,09:00:00,21150
2019/10/10,09:00:00,21150
2019/10/09,09:00:00,21300
2019/10/08,09:00:00,20750
2019/10/07,09:00:00,20550
2019/10/04,09:00:00,20600
2019/10/03,09:00:00,21000
2019/10/02,09:00:00,21000
2019/10/01,09:00:00,21300
2019/09/30,09:00:00,21150
2019/09/27,09:00:00,21150
2019/09/26,09:00:00,21150
2019/09/25,09:00:00,20800
2019/09/24,09:00:00,20750
2019/09/23,09:00:00,21000
2019/09/20,09:00:00,21100
2019/09/19,09:00:00,21250
2019/09/18,09:00:00,20800
2019/09/17,09:00:00,20750
2019/09/16,09:00:00,20750
2019/09/13,09:00:00,20850
2019/09/12,09:00:00,20150
2019/09/11,09:00:00,19800
2019/09/10,09:00:00,19750
2019/09/09,09:00:00,19950
2019/09/06,09:00:00,19900
2019/09/05,09:00:00,19950
2019/09/04,09:00:00,20000
2019/09/03,09:00:00,19950
2019/08/30,09:00:00,20200
2019/08/29,09:00:00,20200
2019/08/28,09:00:00,20250
2019/08/27,09:00:00,20300
2019/08/26,09:00:00,20300
2019/08/23,09:00:00,20500
2019/08/22,09:00:00,20600
2019/08/21,09:00:00,20750
2019/08/20,09:00:00,20600
2019/08/19,09:00:00,20500
2019/08/16,09:00:00,20500
2019/08/15,09:00:00,20400
2019/08/14,09:00:00,20500
2019/08/13,09:00:00,20600
2019/08/12,09:00:00,20350
2019/08/09,09:00:00,20500
2019/08/08,09:00:00,20450
2019/08/07,09:00:00,20200
2019/08/06,09:00:00,20200
2019/08/05,09:00:00,20350
2019/08/02,09:00:00,20350
2019/08/01,09:00:00,20400
2019/07/31,09:00:00,20750
2019/07/30,09:00:00,20700
2019/07/29,09:00:00,20900
2019/07/26,09:00:00,21200
2019/07/25,09:00:00,21250
2019/07/24,09:00:00,21250
2019/07/23,09:00:00,21650
2019/07/22,09:00:00,21600
2019/07/19,09:00:00,21850
2019/07/18,09:00:00,21650
2019/07/17,09:00:00,21900
2019/07/16,09:00:00,21700
2019/07/15,09:00:00,21500
2019/07/12,09:00:00,21450
2019/07/11,09:00:00,21550
2019/07/10,09:00:00,21000
2019/07/09,09:00:00,20950
2019/07/08,09:00:00,20900
2019/07/05,09:00:00,21150
2019/07/04,09:00:00,21150
2019/07/03,09:00:00,21050
2019/07/02,09:00:00,20800
2019/07/01,09:00:00,20850
2019/06/28,09:00:00,19500
2019/06/27,09:00:00,20650
2019/06/26,09:00:00,20900
2019/06/25,09:00:00,21050
2019/06/24,09:00:00,21400
2019/06/21,09:00:00,21400
2019/06/20,09:00:00,21000
2019/06/19,09:00:00,20250
2019/06/18,09:00:00,20250
2019/06/17,09:00:00,20450
2019/06/14,09:00:00,20300
2019/06/13,09:00:00,20150
2019/06/12,09:00:00,20250
2019/06/11,09:00:00,20500
2019/06/10,09:00:00,20500
2019/06/07,09:00:00,20450
2019/06/06,09:00:00,20300
2019/06/05,09:00:00,20100
2019/06/04,09:00:00,20000
2019/06/03,09:00:00,19900
2019/05/31,09:00:00,20300
2019/05/30,09:00:00,20650
2019/05/29,09:00:00,20650
2019/05/28,09:00:00,21000
2019/05/27,09:00:00,21200
2019/05/24,09:00:00,21200
2019/05/23,09:00:00,21500
2019/05/22,09:00:00,21550
2019/05/21,09:00:00,21250
2019/05/20,09:00:00,21350
2019/05/17,09:00:00,21200
2019/05/16,09:00:00,21100
2019/05/15,09:00:00,21150
2019/05/14,09:00:00,20550
2019/05/13,09:00:00,20450
2019/05/10,09:00:00,20300
2019/05/09,09:00:00,20100
2019/05/08,09:00:00,20450
2019/05/07,09:00:00,20400
2019/05/06,09:00:00,20450
2019/05/03,09:00:00,20900
2019/05/02,09:00:00,21000
2019/04/26,09:00:00,21250
2019/04/25,09:00:00,21050
2019/04/24,09:00:00,21400
2019/04/23,09:00:00,20850
2019/04/22,09:00:00,20500
2019/04/19,09:00:00,20800
2019/04/18,09:00:00,21000
2019/04/17,09:00:00,21450
2019/04/16,09:00:00,21550
2019/04/12,09:00:00,21850
2019/04/11,09:00:00,21950
2019/04/10,09:00:00,21900
2019/04/09,09:00:00,22150
2019/04/08,09:00:00,22300
2019/04/05,09:00:00,21900
2019/04/04,09:00:00,22000
2019/04/03,09:00:00,21800
2019/04/02,09:00:00,22000
2019/04/01,09:00:00,22250
2019/03/29,09:00:00,22450
2019/03/28,09:00:00,22650
2019/03/27,09:00:00,22500
2019/03/26,09:00:00,22350
2019/03/25,09:00:00,22150
2019/03/22,09:00:00,22500
2019/03/21,09:00:00,22100
2019/03/20,09:00:00,23000
2019/03/19,09:00:00,23100
2019/03/18,09:00:00,23400
2019/03/15,09:00:00,22700
2019/03/14,09:00:00,22500
2019/03/13,09:00:00,22550
2019/03/12,09:00:00,22100
2019/03/11,09:00:00,21100
2019/03/08,09:00:00,21200
2019/03/07,09:00:00,21500
2019/03/06,09:00:00,21300
2019/03/05,09:00:00,21250
2019/03/04,09:00:00,21200
2019/03/01,09:00:00,20800
2019/02/28,09:00:00,20800
2019/02/27,09:00:00,21150
2019/02/26,09:00:00,21350
2019/02/25,09:00:00,21300
2019/02/22,09:00:00,21100
2019/02/21,09:00:00,20400
2019/02/20,09:00:00,20600
2019/02/19,09:00:00,20500
2019/02/18,09:00:00,20900
2019/02/15,09:00:00,20800
2019/02/14,09:00:00,20850
2019/02/13,09:00:00,20850
2019/02/12,09:00:00,20850
2019/02/11,09:00:00,20700
2019/02/01,09:00:00,20100
2019/01/31,09:00:00,19700
2019/01/30,09:00:00,20450
2019/01/29,09:00:00,20750
2019/01/28,09:00:00,20350
2019/01/25,09:00:00,20200
2019/01/24,09:00:00,20450
2019/01/23,09:00:00,19950
2019/01/22,09:00:00,19550
2019/01/21,09:00:00,19450
2019/01/18,09:00:00,18200
2019/01/17,09:00:00,18450
2019/01/16,09:00:00,18700
2019/01/15,09:00:00,18900
2019/01/14,09:00:00,18800
2019/01/11,09:00:00,18800
2019/01/10,09:00:00,18850
2019/01/09,09:00:00,18350
2019/01/08,09:00:00,17900
2019/01/07,09:00:00,18150
2019/01/04,09:00:00,18350
2019/01/03,09:00:00,18100
2019/01/02,09:00:00,19000
2018/12/28,09:00:00,19300
2018/12/27,09:00:00,19350
2018/12/26,09:00:00,19300
2018/12/25,09:00:00,19700
2018/12/24,09:00:00,20350
2018/12/21,09:00:00,20850
2018/12/20,09:00:00,20200
2018/12/19,09:00:00,20400
2018/12/18,09:00:00,21450
2018/12/17,09:00:00,21650
2018/12/14,09:00:00,22350
2018/12/13,09:00:00,23150
2018/12/12,09:00:00,23500
2018/12/11,09:00:00,23300
2018/12/10,09:00:00,23100
2018/12/07,09:00:00,24050
2018/12/06,09:00:00,23950
2018/12/05,09:00:00,24100
2018/12/04,09:00:00,23900
2018/12/03,09:00:00,24150
2018/11/30,09:00:00,23000
2018/11/29,09:00:00,22850
2018/11/28,09:00:00,22750
2018/11/27,09:00:00,22300
2018/11/26,09:00:00,22500
2018/11/23,09:00:00,22450
2018/11/22,09:00:00,22950
2018/11/21,09:00:00,23300
2018/11/20,09:00:00,23200
2018/11/19,09:00:00,23050
2018/11/16,09:00:00,21950
2018/11/15,09:00:00,21250
2018/11/14,09:00:00,21200
2018/11/13,09:00:00,22000
2018/11/12,09:00:00,22450
2018/11/09,09:00:00,22600
2018/11/08,09:00:00,23200
2018/11/07,09:00:00,23250
2018/11/06,09:00:00,23250
2018/11/05,09:00:00,23500
2018/11/02,09:00:00,23500
2018/11/01,09:00:00,22850
2018/10/31,09:00:00,23400
2018/10/30,09:00:00,22200
2018/10/29,09:00:00,22100
2018/10/26,09:00:00,22500
2018/10/25,09:00:00,23000
2018/10/24,09:00:00,23200
2018/10/23,09:00:00,23650
2018/10/22,09:00:00,24450
2018/10/19,09:00:00,24700
2018/10/18,09:00:00,24850
2018/10/17,09:00:00,25300
2018/10/16,09:00:00,25150
2018/10/15,09:00:00,24750
2018/10/12,09:00:00,25400
2018/10/11,09:00:00,24600
2018/10/10,09:00:00,26450
2018/10/09,09:00:00,26700
2018/10/08,09:00:00,26850
2018/10/05,09:00:00,27100
2018/10/04,09:00:00,27700
2018/10/03,09:00:00,27500
2018/10/02,09:00:00,27100
2018/10/01,09:00:00,27050
2018/09/28,09:00:00,27550
2018/09/27,09:00:00,27600
2018/09/26,09:00:00,27650
2018/09/25,09:00:00,27800
2018/09/24,09:00:00,28000
2018/09/21,09:00:00,28100
2018/09/20,09:00:00,27450
2018/09/19,09:00:00,26800
2018/09/18,09:00:00,26900
2018/09/17,09:00:00,26600
2018/09/14,09:00:00,26950
2018/09/13,09:00:00,26650
2018/09/12,09:00:00,26500
2018/09/11,09:00:00,26950
2018/09/10,09:00:00,26200
2018/09/07,09:00:00,26500
2018/09/06,09:00:00,25900
2018/09/05,09:00:00,26050
2018/09/04,09:00:00,25900
2018/08/31,09:00:00,27150
2018/08/30,09:00:00,27600
2018/08/29,09:00:00,27000
2018/08/28,09:00:00,27250
2018/08/27,09:00:00,27200
2018/08/24,09:00:00,26100
2018/08/23,09:00:00,26100
2018/08/22,09:00:00,26250
2018/08/21,09:00:00,26500
2018/08/20,09:00:00,25700
2018/08/17,09:00:00,26000
2018/08/16,09:00:00,26150
2018/08/15,09:00:00,25200
2018/08/14,09:00:00,25300
2018/08/13,09:00:00,25750
2018/08/10,09:00:00,24250
2018/08/09,09:00:00,24050
2018/08/08,09:00:00,23950
2018/08/07,09:00:00,23050
2018/08/06,09:00:00,22850
2018/08/03,09:00:00,22850
2018/08/02,09:00:00,22950
2018/08/01,09:00:00,23200
2018/07/31,09:00:00,23600
2018/07/30,09:00:00,23850
2018/07/27,09:00:00,23400
2018/07/26,09:00:00,23000
2018/07/25,09:00:00,22800
2018/07/24,09:00:00,23550
2018/07/23,09:00:00,23600
2018/07/20,09:00:00,24700
2018/07/19,09:00:00,24400
2018/07/18,09:00:00,24900
2018/07/17,09:00:00,24000
2018/07/16,09:00:00,22800
2018/07/13,09:00:00,22600
2018/07/12,09:00:00,21800
2018/07/11,09:00:00,20900
2018/07/10,09:00:00,22350
2018/07/09,09:00:00,22100
2018/07/06,09:00:00,21900
2018/07/05,09:00:00,20500
2018/07/04,09:00:00,21900
2018/07/03,09:00:00,21500
2018/07/02,09:00:00,23100
2018/06/29,09:00:00,24250
2018/06/28,09:00:00,24300
2018/06/27,09:00:00,25000
2018/06/26,09:00:00,26000
2018/06/25,09:00:00,26350
2018/06/22,09:00:00,25900
2018/06/21,09:00:00,25350
2018/06/20,09:00:00,26150
2018/06/19,09:00:00,25400
2018/06/18,09:00:00,25850
2018/06/15,09:00:00,27100
2018/06/14,09:00:00,26800
2018/06/13,09:00:00,27450
2018/06/12,09:00:00,27400
2018/06/11,09:00:00,28050
2018/06/08,09:00:00,28550
2018/06/07,09:00:00,28350
2018/06/06,09:00:00,28950
2018/06/05,09:00:00,28400
2018/06/04,09:00:00,27950
2018/06/01,09:00:00,27450
2018/05/31,09:00:00,27100
2018/05/30,09:00:00,25650
2018/05/29,09:00:00,26050
2018/05/28,09:00:00,24350
2018/05/25,09:00:00,26150
2018/05/25,09:00:00,26150
2018/05/24,09:00:00,27350
2018/05/23,09:00:00,28000
2018/05/22,09:00:00,27100
2018/05/21,09:00:00,28800
2018/05/18,09:00:00,29450
2018/05/17,09:00:00,29200
2018/05/16,09:00:00,29100
2018/05/15,09:00:00,29850
2018/05/14,09:00:00,29500
2018/05/11,09:00:00,29400
2018/05/10,09:00:00,28000
2018/05/09,09:00:00,30000
2018/05/08,09:00:00,30400
2018/05/07,09:00:00,30450
2018/05/04,09:00:00,28500
2018/05/03,09:00:00,29000
2018/05/02,09:00:00,27250
2018/04/27,09:00:00,29300
2018/04/26,09:00:00,28250
2018/04/24,09:00:00,30350
2018/04/23,09:00:00,31200
2018/04/20,09:00:00,33500
2018/04/19,09:00:00,31600
2018/04/18,09:00:00,33550
2018/04/17,09:00:00,34800
2018/04/16,09:00:00,34000
2018/04/13,09:00:00,34200
2018/04/12,09:00:00,35700
2018/04/11,09:00:00,35700
2018/04/10,09:00:00,37300
2018/04/09,09:00:00,37700
2018/04/06,09:00:00,35700
2018/04/05,09:00:00,35600
2018/04/04,09:00:00,35900
2018/04/03,09:00:00,36300
2018/04/02,09:00:00,36200
2018/03/30,09:00:00,34600
2018/03/29,09:00:00,35000
2018/03/28,09:00:00,35200
2018/03/27,09:00:00,35800
2018/03/26,09:00:00,35800
2018/03/23,09:00:00,34950
2018/03/22,09:00:00,35800
2018/03/21,09:00:00,36200
2018/03/20,09:00:00,36000
2018/03/19,09:00:00,36300
2018/03/16,09:00:00,36700
2018/03/15,09:00:00,36600
2018/03/14,09:00:00,35550
2018/03/13,09:00:00,35700
2018/03/12,09:00:00,33450
2018/03/09,09:00:00,32400
2018/03/08,09:00:00,31700
2018/03/07,09:00:00,31500
2018/03/06,09:00:00,32300
2018/03/05,09:00:00,30500
2018/03/02,09:00:00,32700
2018/03/01,09:00:00,32700
2018/02/28,09:00:00,33600
2018/02/27,09:00:00,32100
2018/02/26,09:00:00,30700
2018/02/23,09:00:00,30400
2018/02/22,09:00:00,28650
2018/02/21,09:00:00,27850
2018/02/13,09:00:00,27200
2018/02/12,09:00:00,26200
2018/02/09,09:00:00,24500
2018/02/08,09:00:00,24500
2018/02/07,09:00:00,25750
2018/02/06,09:00:00,24350
2018/02/05,09:00:00,26050
2018/02/02,09:00:00,28000
2018/02/01,09:00:00,27250
2018/01/31,09:00:00,27200
2018/01/30,09:00:00,28050
2018/01/29,09:00:00,28300
2018/01/26,09:00:00,27300
2018/01/25,09:00:00,26750
2018/01/22,09:00:00,25750
