Ngày,"Số lần nhấp (Tất cả)","Số người tiếp cận được","CTR (Tất cả)","Số tiền đã chi tiêu (VND)","CPC (Chi phí trên mỗi lượt click vào liên kết)","Chi phí tiếp cận 1.000 người","Chi phí trên mỗi lượt tương tác với Trang","Chi phí trên mỗi lượt tương tác với bài viết","Chi phí trên mỗi ThruPlay","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-11-13,24,1945,1.13528855,124833,,64181.49100257,911.18978102,911.18978102,6241.65,2019-11-13,2019-11-13
2019-11-12,182,6342,1.79434092,602487,22314.33333333,94999.5269631,925.47926267,925.47926267,6024.87,2019-11-12,2019-11-12
2019-11-11,101,3834,1.67218543,474492,29655.75,123758.99843506,1213.53452685,1213.53452685,7413.9375,2019-11-11,2019-11-11
2019-11-10,182,6086,1.9033675,842491,26327.84375,138430.98915544,1238.95735294,1238.95735294,8596.84693878,2019-11-10,2019-11-10
2019-11-09,230,7034,2.22351121,907887,21616.35714286,129071.22547626,943.74948025,943.74948025,7693.95762712,2019-11-09,2019-11-09
2019-11-08,248,5732,2.84240688,758364,13075.24137931,132303.5589672,855.94130926,855.94130926,5378.46808511,2019-11-08,2019-11-08
2019-11-05,12,538,2.12765957,16153,,30024.16356877,75.13023256,75.13023256,278.5,2019-11-05,2019-11-05
2019-11-04,4,884,0.42643923,20354,,23024.88687783,72.4341637,72.4341637,370.07272727,2019-11-04,2019-11-04
2019-11-03,17,1095,1.39230139,25937,6484.25,23686.75799087,84.21103896,84.21103896,345.82666667,2019-11-03,2019-11-03
2019-11-02,143,4978,2.25303293,147950,3362.5,29720.77139413,145.90729783,145.90729783,718.2038835,2019-11-02,2019-11-02
2019-11-01,181,5884,2.68426516,154049,3348.89130435,26180.99932019,125.75428571,125.75428571,639.20746888,2019-11-01,2019-11-01
2019-10-31,126,4915,2.09406681,140449,3795.91891892,28575.58494405,165.42873969,165.42873969,709.33838384,2019-10-31,2019-10-31
2019-10-30,129,5398,2.00840729,135001,3214.30952381,25009.44794368,183.92506812,183.92506812,859.87898089,2019-10-30,2019-10-30
2019-10-29,43,987,4.24901186,18623,,18868.28774063,39.04192872,39.04192872,152.64754098,2019-10-29,2019-10-29
2019-10-28,14,346,4.01146132,11074,,32005.78034682,87.88888889,87.88888889,346.0625,2019-10-28,2019-10-28
2019-10-18,20,1195,1.62337662,31466,2097.73333333,26331.38075314,593.69811321,593.69811321,7866.5,2019-10-18,2019-10-18
2019-10-14,151,5162,2.74695288,221761,4032.01818182,42960.28671058,359.41815235,359.41815235,1802.93495935,2019-10-14,2019-10-14
2019-10-13,812,25344,2.33165829,1304547,3633.8356546,51473.6032197,411.52902208,411.52902208,2503.92898273,2019-10-13,2019-10-13
2019-10-12,716,24504,2.2049766,1248114,3924.88679245,50935.11263467,410.56381579,410.69891412,2328.57089552,2019-10-12,2019-10-12
2019-10-11,709,17956,2.87498479,1255113,3780.46084337,69899.36511472,437.32160279,437.32160279,2386.14638783,2019-10-11,2019-10-11
2019-10-10,642,15736,3.18626235,950128,3265.04467354,60379.25775292,464.15632633,464.15632633,2770.05247813,2019-10-10,2019-10-10
2019-10-09,301,8728,2.53111335,303744,1399.74193548,34801.09990834,316.4,316.4,2618.48275862,2019-10-09,2019-10-09
2019-10-08,360,10076,2.85148515,290311,1267.73362445,28812.1278285,289.15438247,289.15438247,1897.45751634,2019-10-08,2019-10-08
2019-10-07,91,5142,1.72610015,120807,2013.45,23494.16569428,326.50540541,326.50540541,2196.49090909,2019-10-07,2019-10-07
2019-10-02,2,277,0.67114094,11275,5637.5,40703.97111913,626.38888889,626.38888889,5637.5,2019-10-02,2019-10-02
2019-10-01,110,4469,1.54689917,200999,2830.97183099,44976.28104721,493.85503686,493.85503686,4187.47916667,2019-10-01,2019-10-01
2019-09-30,116,5888,1.33287372,200215,3128.359375,34003.90625,480.13189448,480.13189448,3850.28846154,2019-09-30,2019-09-30
2019-09-12,27,1682,1.54373928,53940,8990,32068.96551724,445.78512397,445.78512397,4495,2019-09-12,2019-09-12
2019-09-11,340,15051,1.45835121,819630,19061.1627907,54456.84672115,725.97874225,725.97874225,5854.5,2019-09-11,2019-09-11
2019-09-10,276,11580,1.6575581,606969,11901.35294118,52415.28497409,571.53389831,571.53389831,4779.28346457,2019-09-10,2019-09-10
2019-09-09,312,12596,1.79454734,1054258,18495.75438596,83697.84058431,948.92709271,948.92709271,8236.390625,2019-09-09,2019-09-09
2019-09-08,388,13632,2.0428579,1088285,15772.24637681,79833.11326291,791.48,791.48,5524.2893401,2019-09-08,2019-09-08
2019-09-07,807,22384,2.54325423,1500891,7113.22748815,67051.95675482,709.64113475,709.64113475,5517.98161765,2019-09-07,2019-09-07
2019-09-06,290,11576,1.85814058,410027,3106.26515152,35420.43883898,990.40338164,990.40338164,8723.9787234,2019-09-06,2019-09-06
2019-08-31,9,361,2.45231608,47383,47383,131254.84764543,23691.5,23691.5,,2019-08-31,2019-08-31
2019-08-30,80,3834,1.74102285,581889,41563.5,151770.73552426,25299.52173913,25299.52173913,,2019-08-30,2019-08-30
2019-08-29,107,3926,2.08699044,591304,24637.66666667,150612.32806928,16425.11111111,16425.11111111,,2019-08-29,2019-08-29
2019-08-28,83,2089,3.34273057,258143,21511.91666667,123572.52273815,11733.77272727,11733.77272727,,2019-08-28,2019-08-28
2019-08-22,11,422,2.43362832,31981,7995.25,75784.36018957,7995.25,7995.25,,2019-08-22,2019-08-22
2019-08-21,196,6140,2.22071153,687827,12067.14035088,112023.94136808,2625.29389313,2625.29389313,29905.52173913,2019-08-21,2019-08-21
2019-08-20,303,8936,2.41877545,986884,16178.42622951,110439.12264996,1759.15151515,1759.15151515,12183.75308642,2019-08-20,2019-08-20
2019-08-19,344,9208,2.33204529,1203376,21488.85714286,130688.09730669,2092.82782609,2096.4738676,14856.49382716,2019-08-19,2019-08-19
2019-08-18,369,9112,2.82412368,1039056,15508.29850746,114031.60667252,1333.83311938,1333.83311938,8246.47619048,2019-08-18,2019-08-18
2019-08-17,304,7364,2.90131705,950653,13980.19117647,129094.64964693,1595.05536913,1595.05536913,9602.55555556,2019-08-17,2019-08-17
2019-08-16,376,7330,3.49474858,975990,13746.33802817,133150.06821282,1654.22033898,1657.02886248,10844.33333333,2019-08-16,2019-08-16
2019-08-15,246,4577,4.3578388,495173,11253.93181818,108187.24055058,1320.46133333,1320.46133333,6515.43421053,2019-08-15,2019-08-15
2019-08-11,186,3872,3.5061263,878634,14171.51612903,226919.93801653,1166.84462151,1168.3962766,7029.072,2019-08-11,2019-08-11
2019-08-10,148,3146,4.02392605,590752,13426.18181818,187778.76668786,1191.03225806,1191.03225806,6491.78021978,2019-08-10,2019-08-10
2019-08-05,11,568,1.67682927,46393,15464.33333333,81677.81690141,602.50649351,602.50649351,4217.54545455,2019-08-05,2019-08-05
2019-08-04,105,3438,2.3858214,449878,16067.07142857,130854.56660849,919.99591002,921.88114754,6162.71232877,2019-08-04,2019-08-04
2019-08-03,112,4111,2.15426043,550791,17212.21875,133979.81026514,957.8973913,957.8973913,5099.91666667,2019-08-03,2019-08-03
2019-08-02,174,4582,2.85714286,512486,13140.66666667,111847.66477521,682.40479361,683.31466667,3912.10687023,2019-08-02,2019-08-02
2019-08-01,151,4066,2.79061172,537679,12504.1627907,132237.82587309,790.70441176,790.70441176,4800.70535714,2019-08-01,2019-08-01
2019-07-31,153,4368,2.48538012,693044,20383.64705882,158663.91941392,1361.57956778,1361.57956778,8349.92771084,2019-07-31,2019-07-31
2019-07-30,237,5952,2.78790731,815152,12938.92063492,136954.30107527,1164.50285714,1164.50285714,7150.45614035,2019-07-30,2019-07-30
2019-07-29,211,5182,2.78290688,723070,16433.40909091,139534.928599,859.77407848,859.77407848,4695.25974026,2019-07-29,2019-07-29
2019-07-28,366,7045,3.48803965,1007222,12283.19512195,142969.76579134,723.05958363,723.05958363,4144.94650206,2019-07-28,2019-07-28
2019-07-27,349,7054,3.52774689,989449,9513.93269231,140267.79132407,715.95441389,715.95441389,3521.17081851,2019-07-27,2019-07-27
2019-07-26,381,6868,3.7185243,1035327,10353.27,150746.50553291,725.01890756,725.01890756,3877.62921348,2019-07-26,2019-07-26
2019-07-25,488,5577,5.92736548,846112,7691.92727273,151714.54186839,618.50292398,618.50292398,2738.22653722,2019-07-25,2019-07-25
2019-07-23,80,4976,1.2749004,1126084,41706.81481481,226303.05466238,1646.32163743,1646.32163743,9462.8907563,2019-07-23,2019-07-23
2019-07-22,148,6490,1.81084057,1132130,24087.87234043,174442.21879815,1248.21389195,1250.97237569,7399.54248366,2019-07-22,2019-07-22
2019-07-21,71,1908,2.84797433,285716,19047.73333333,149746.3312369,975.13993174,975.13993174,5830.93877551,2019-07-21,2019-07-21
2019-07-20,59,1553,3.08900524,254187,15886.6875,163674.82292337,1109.98689956,1109.98689956,6689.13157895,2019-07-20,2019-07-20
2019-07-19,150,3139,3.59884837,519932,30584.23529412,165636.18986939,1108.59701493,1108.59701493,9121.61403509,2019-07-19,2019-07-19
2019-07-18,51,1009,5.0295858,173082,34616.4,171538.15659068,15734.72727273,15734.72727273,,2019-07-18,2019-07-18
2019-07-16,14,128,10.60606061,6874,,53703.125,,,,2019-07-16,2019-07-16
2019-07-15,9,33,26.47058824,2278,2278,69030.3030303,2278,2278,,2019-07-15,2019-07-15
2019-07-14,153,1466,9.22242315,101164,10116.4,69006.8212824,9196.72727273,9196.72727273,,2019-07-14,2019-07-14
2019-07-13,148,1667,8.10514786,97934,8903.09090909,58748.65026995,4896.7,4896.7,,2019-07-13,2019-07-13
2019-07-12,217,1690,11.03763988,93643,7803.58333333,55410.0591716,7203.30769231,7203.30769231,,2019-07-12,2019-07-12
2019-07-11,195,1233,14.63963964,67650,7516.66666667,54866.18004866,4228.125,4228.125,,2019-07-11,2019-07-11
2019-06-24,2,55,3.63636364,4092,,74400,,,,2019-06-24,2019-06-24
2019-06-23,58,1027,4.79735318,90868,10096.44444444,88479.06523856,4782.52631579,4782.52631579,,2019-06-23,2019-06-23
2019-06-22,39,410,7.51445087,51331,5703.44444444,125197.56097561,4277.58333333,4277.58333333,,2019-06-22,2019-06-22
2019-06-21,23,345,6.26702997,47332,5916.5,137194.20289855,5259.11111111,5259.11111111,,2019-06-21,2019-06-21
2019-06-20,52,934,4.71014493,152309,10879.21428571,163071.73447538,10153.93333333,10153.93333333,,2019-06-20,2019-06-20
2019-06-19,11,214,4.48979592,23819,11909.5,111303.73831776,11909.5,11909.5,,2019-06-19,2019-06-19
2019-06-18,3,121,2.11267606,13318,,110066.11570248,,,,2019-06-18,2019-06-18
2019-06-17,18,346,4.66321244,46370,9274,134017.34104046,7728.33333333,7728.33333333,,2019-06-17,2019-06-17
2019-06-16,56,520,9.04684976,66948,6694.8,128746.15384615,4463.2,4463.2,,2019-06-16,2019-06-16
2019-06-15,15,204,5.88235294,32486,8121.5,159245.09803922,3248.6,3248.6,,2019-06-15,2019-06-15
2019-06-14,19,255,5.81039755,36240,7248,142117.64705882,2787.69230769,2787.69230769,,2019-06-14,2019-06-14
2019-06-13,77,1888,3.75060887,252100,18007.14285714,133527.54237288,12004.76190476,12004.76190476,,2019-06-13,2019-06-13
2019-06-12,63,1519,3.79746835,190811,11224.17647059,125616.19486504,8296.13043478,8296.13043478,,2019-06-12,2019-06-12
2019-06-11,14,200,5.69105691,50056,12514,250280,7150.85714286,7150.85714286,,2019-06-11,2019-06-11
2019-06-10,29,396,5.49242424,29404,29404,74252.52525253,4900.66666667,4900.66666667,,2019-06-10,2019-06-10
2019-06-09,57,873,5.39262062,99268,9926.8,113709.04925544,5839.29411765,5839.29411765,,2019-06-09,2019-06-09
2019-06-08,49,757,5.77830189,76929,12821.5,101623.51387054,7692.9,7692.9,,2019-06-08,2019-06-08
2019-06-07,48,581,6.86695279,86787,8678.7,149375.2151463,6199.07142857,6199.07142857,,2019-06-07,2019-06-07
2019-06-06,131,1723,6.70419652,215690,9804.09090909,125182.82066164,6343.82352941,6343.82352941,,2019-06-06,2019-06-06
2019-06-05,28,346,7.73480663,36541,6090.16666667,105609.8265896,5220.14285714,5220.14285714,,2019-06-05,2019-06-05
2019-05-29,374,8772,3.90722942,254896,1261.86138614,29057.91153671,1040.39183673,1040.39183673,,2019-05-29,2019-05-29
2019-05-28,454,7266,4.81748727,245104,833.68707483,33733.0030278,744.99696049,744.99696049,,2019-05-28,2019-05-28
2019-05-13,127,5214,1.90519052,1060875,50517.85714286,203466.6283084,1370.63953488,1370.63953488,10008.25471698,2019-05-13,2019-05-13
2019-05-12,277,9647,2.03243085,2148238,28643.17333333,222684.56514979,1359.6443038,1359.6443038,8524.75396825,2019-05-12,2019-05-12
2019-05-11,188,6365,2.26806611,1234102,26257.4893617,193888.76669285,1240.30351759,1240.30351759,7525.01219512,2019-05-11,2019-05-11
2019-05-10,180,6298,2.11665099,1289788,26322.20408163,204793.26770403,1353.3976915,1353.3976915,8429.9869281,2019-05-10,2019-05-10
2019-05-09,271,8188,2.55974308,2050737,30157.89705882,250456.39960918,1456.48934659,1456.48934659,9196.13004484,2019-05-09,2019-05-09
2019-05-08,267,6034,3.34376957,1416358,21139.67164179,234729.53264833,1282.93297101,1282.93297101,6942.93137255,2019-05-08,2019-05-08
2019-05-07,49,850,5.05675955,191621,11976.3125,225436.47058824,1228.33974359,1228.33974359,5635.91176471,2019-05-07,2019-05-07
2019-05-06,27,356,6.52173913,73927,12321.16666667,207660.11235955,1274.60344828,1274.60344828,4348.64705882,2019-05-06,2019-05-06
2019-05-05,34,686,4.17177914,113468,8104.85714286,165405.24781341,1101.63106796,1101.63106796,8104.85714286,2019-05-05,2019-05-05
2019-05-04,44,1522,2.44444444,195943,8164.29166667,128740.47306176,704.83093525,704.83093525,4453.25,2019-05-04,2019-05-04
2019-05-03,46,998,4.09982175,148953,6476.2173913,149251.50300601,667.95067265,667.95067265,3103.1875,2019-05-03,2019-05-03
2019-04-03,745,6923,9.5684562,276941,633.73226545,40003.03336704,575.76091476,575.76091476,,2019-04-03,2019-04-03
2019-03-16,41,668,5.69444444,60300,,90269.46107784,2740.90909091,2740.90909091,,2019-03-16,2019-03-16
2019-03-15,80,1400,4.48430493,153246,153246,109461.42857143,3331.43478261,3331.43478261,,2019-03-15,2019-03-15
2019-03-14,102,1679,5.01474926,134128,,79885.64621799,3271.41463415,3271.41463415,,2019-03-14,2019-03-14
2019-03-13,110,1513,6.01421542,152326,,100678.12293457,2929.34615385,2929.34615385,,2019-03-13,2019-03-13
2019-03-12,304,4187,6.93905501,120970,643.45744681,28891.80797707,557.46543779,557.46543779,,2019-03-12,2019-03-12
2019-03-11,613,9027,6.20822362,276951,650.11971831,30680.29245597,594.31545064,594.31545064,,2019-03-11,2019-03-11
2019-03-05,27,242,10.58823529,14811,14811,61202.47933884,1346.45454545,1346.45454545,,2019-03-05,2019-03-05
2019-03-04,81,931,7.20640569,98133,16355.5,105406.01503759,1924.17647059,1924.17647059,,2019-03-04,2019-03-04
2019-03-03,74,860,7.46720484,100382,25095.5,116723.25581395,1858.92592593,1858.92592593,,2019-03-03,2019-03-03
2019-03-02,85,1021,7.01899257,107408,21481.6,105198.82468169,1820.47457627,1820.47457627,,2019-03-02,2019-03-02
2019-03-01,73,699,8.84848485,105711,35237,151231.75965665,1922.01818182,1922.01818182,,2019-03-01,2019-03-01
