Ngày,"Số lượt click vào liên kết","Chi phí trên mỗi lượt phát video trong tối thiểu 3 giây","Lượt phát video","Chi phí trên mỗi ThruPlay","Lượt phát video trong tối thiểu 3 giây","Lượt phát 25% thời lượng video","Lượt phát 50% thời lượng video","Lượt phát 75% thời lượng video","Lượt phát 95% thời lượng video","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-11-13,,931.58955224,1395,6241.65,134,20,13,5,2,2019-11-13,2019-11-13
2019-11-12,27,995.84628099,6574,6024.87,605,105,45,34,25,2019-11-12,2019-11-12
2019-11-11,16,1318.03333333,4004,7413.9375,360,66,31,18,13,2019-11-11,2019-11-11
2019-11-10,32,1343.68580542,6489,8596.84693878,627,107,61,41,24,2019-11-10,2019-11-10
2019-11-09,42,1016.67077268,7053,7693.95762712,893,130,64,37,24,2019-11-09,2019-11-09
2019-11-08,58,951.52321205,5810,5378.46808511,797,145,77,44,26,2019-11-08,2019-11-08
2019-11-05,,75.83568075,522,278.5,213,10,6,4,3,2019-11-05,2019-11-05
2019-11-04,,72.4341637,841,370.07272727,281,4,3,3,1,2019-11-04,2019-11-04
2019-11-03,4,85.60066007,955,345.82666667,303,8,4,2,1,2019-11-03,2019-11-03
2019-11-02,44,153.79417879,3070,718.2038835,962,60,34,11,7,2019-11-02,2019-11-02
2019-11-01,46,131.77844311,3847,639.20746888,1169,65,36,23,14,2019-11-01,2019-11-01
2019-10-31,37,175.1234414,2896,709.33838384,802,85,38,19,14,2019-10-31,2019-10-31
2019-10-30,42,195.93759071,2896,859.87898089,689,56,26,19,13,2019-10-30,2019-10-30
2019-10-29,,39.04192872,975,152.64754098,477,22,13,9,6,2019-10-29,2019-10-29
2019-10-28,,87.88888889,324,346.0625,126,4,1,1,3,2019-10-28,2019-10-28
2019-10-18,15,828.05263158,376,7866.5,38,3,1,1,,2019-10-18,2019-10-18
2019-10-14,55,401.01446655,3681,1802.93495935,553,161,86,62,37,2019-10-14,2019-10-14
2019-10-13,359,472.66195652,21017,2503.92898273,2760,726,396,241,169,2019-10-13,2019-10-13
2019-10-12,318,465.88801792,17151,2328.57089552,2679,736,411,255,176,2019-10-12,2019-10-12
2019-10-11,332,506.29810407,13789,2386.14638783,2479,733,414,270,185,2019-10-11,2019-10-11
2019-10-10,291,563.53973903,9667,2770.05247813,1686,482,278,186,134,2019-10-10,2019-10-10
2019-10-09,217,412.13568521,4256,2618.48275862,737,171,88,62,45,2019-10-09,2019-10-09
2019-10-08,229,380.9855643,4173,1897.45751634,762,214,114,72,44,2019-10-08,2019-10-08
2019-10-07,60,394.79411765,2202,2196.49090909,306,82,45,27,15,2019-10-07,2019-10-07
2019-10-02,2,704.6875,134,5637.5,16,2,1,1,1,2019-10-02,2019-10-02
2019-10-01,71,603.6006006,2579,4187.47916667,333,55,27,15,12,2019-10-01,2019-10-01
2019-09-30,64,568.79261364,2798,3850.28846154,352,66,25,16,10,2019-09-30,2019-09-30
2019-09-12,6,477.34513274,1139,4495,113,17,4,2,1,2019-09-12,2019-09-12
2019-09-11,43,769.6056338,15540,5854.5,1065,163,72,46,31,2019-09-11,2019-09-11
2019-09-10,51,617.46592065,11225,4779.28346457,983,149,65,37,23,2019-09-10,2019-09-10
2019-09-09,57,1017.62355212,11783,8236.390625,1036,157,67,43,26,2019-09-09,2019-09-09
2019-09-08,69,858.26892744,12804,5524.2893401,1268,229,100,49,28,2019-09-08,2019-09-08
2019-09-07,211,821.05634573,13365,5517.98161765,1828,324,160,104,70,2019-09-07,2019-09-07
2019-09-06,132,1507.45220588,1305,8723.9787234,272,52,24,18,10,2019-09-06,2019-09-06
2019-08-21,57,3908.10795455,827,29905.52173913,176,40,15,8,5,2019-08-21,2019-08-21
2019-08-20,61,2099.75319149,2673,12183.75308642,470,120,48,29,24,2019-08-20,2019-08-20
2019-08-19,56,2565.8336887,2245,14856.49382716,469,122,62,40,24,2019-08-19,2019-08-19
2019-08-18,67,1543.91679049,2657,8246.47619048,673,197,88,57,30,2019-08-18,2019-08-18
2019-08-17,68,1889.96620278,2223,9602.55555556,503,154,73,48,23,2019-08-17,2019-08-17
2019-08-16,71,2121.7173913,2122,10844.33333333,460,133,69,43,23,2019-08-16,2019-08-16
2019-08-15,44,1707.49310345,1187,6515.43421053,290,97,48,37,24,2019-08-15,2019-08-15
2019-08-11,62,1321.25413534,3583,7029.072,665,184,94,71,47,2019-08-11,2019-08-11
2019-08-10,44,1377.04428904,2369,6491.78021978,429,127,62,52,36,2019-08-10,2019-08-10
2019-08-05,3,653.42253521,443,4217.54545455,71,12,9,5,4,2019-08-05,2019-08-05
2019-08-04,28,997.51219512,2827,6162.71232877,451,91,46,28,19,2019-08-04,2019-08-04
2019-08-03,32,1037.27118644,3175,5099.91666667,531,125,65,39,32,2019-08-03,2019-08-03
2019-08-02,39,756.99556869,3746,3912.10687023,677,145,68,43,37,2019-08-02,2019-08-02
2019-08-01,43,872.85551948,3432,4800.70535714,616,122,56,43,28,2019-08-01,2019-08-01
2019-07-31,34,1523.17362637,3143,8349.92771084,455,104,53,35,24,2019-07-31,2019-07-31
2019-07-30,63,1321.15397083,3697,7150.45614035,617,132,72,41,26,2019-07-30,2019-07-30
2019-07-29,44,943.95561358,4302,4695.25974026,766,172,83,45,29,2019-07-29,2019-07-29
2019-07-28,82,800.65341812,6585,4144.94650206,1258,281,139,86,53,2019-07-28,2019-07-28
2019-07-27,104,806.39690302,6221,3521.17081851,1227,316,153,114,77,2019-07-27,2019-07-27
2019-07-26,100,818.44031621,6637,3877.62921348,1265,305,156,111,64,2019-07-26,2019-07-26
2019-07-25,110,706.86048454,4982,2738.22653722,1197,356,194,125,90,2019-07-25,2019-07-25
2019-07-23,27,1754.02492212,4160,9462.8907563,642,152,64,35,25,2019-07-23,2019-07-23
2019-07-22,47,1370.61743341,5257,7399.54248366,826,203,97,69,51,2019-07-22,2019-07-22
2019-07-21,15,1090.51908397,1568,5830.93877551,262,61,28,18,16,2019-07-21,2019-07-21
2019-07-20,16,1264.6119403,1175,6689.13157895,201,44,24,17,11,2019-07-20,2019-07-20
2019-07-19,17,1232.06635071,2303,9121.61403509,422,82,36,30,11,2019-07-19,2019-07-19
2019-05-13,21,1431.68016194,4327,10008.25471698,741,84,40,27,16,2019-05-13,2019-05-13
2019-05-12,75,1452.49357674,9258,8524.75396825,1479,207,107,67,37,2019-05-12,2019-05-12
2019-05-11,47,1342.87486398,5661,7525.01219512,919,130,70,50,27,2019-05-11,2019-05-11
2019-05-10,49,1467.33560865,5654,8429.9869281,879,132,77,50,23,2019-05-10,2019-05-10
2019-05-09,68,1573.85801995,6940,9196.13004484,1303,181,86,60,34,2019-05-09,2019-05-09
2019-05-08,67,1409.31144279,5301,6942.93137255,1005,165,95,64,36,2019-05-08,2019-05-08
2019-05-07,16,1419.41481481,677,5635.91176471,135,30,18,16,11,2019-05-07,2019-05-07
2019-05-06,6,1642.82222222,202,4348.64705882,45,19,11,6,2,2019-05-06,2019-05-06
2019-05-05,14,1418.35,299,8104.85714286,80,22,10,7,5,2019-05-05,2019-05-05
2019-05-04,24,816.42916667,954,4453.25,240,51,34,22,9,2019-05-04,2019-05-04
2019-05-03,23,767.79896907,717,3103.1875,194,54,35,25,14,2019-05-03,2019-05-03
